Province_State,Last_Update,Confirmed,Deaths,Recovered,Active,Case_Fatality_Ratio
Nevada,2021-01-04,231614,3180,NA,228434,1.372973999844569
New Hampshire,2021-01-04,47376,780,39574,6096,1.6792249730893434
New Jersey,2021-01-04,545450,19208,56873,415961,3.9037317952532513
New Mexico,2021-01-04,146394,2551,68876,74967,1.7425577550992526
New York,2021-01-04,1023897,38239,104402,881080,3.7518422263176863
North Carolina,2021-01-04,564924,6910,403488,154526,1.2231733826142983
North Dakota,2021-01-04,93041,1317,89879,1852,1.4079814275426965
Ohio,2021-01-04,721481,14033,579583,132822,1.25796798529691
Oklahoma,2021-01-04,304375,2547,265293,36232,0.8376305611828777
Oregon,2021-01-04,117745,1500,5870,110375,1.2739394454116948
Pennsylvania,2021-01-04,666341,16331,453531,195152,2.440920842275606
Rhode Island,2021-01-04,87949,1974,5381,80791,2.020489147119353
South Carolina,2021-01-04,321669,5469,154943,161257,1.700194920865859
South Dakota,2021-01-04,100532,1513,93031,5988,1.5049934349261926
Tennessee,2021-01-04,608297,7025,526966,74306,1.1548634959567448
Texas,2021-01-04,1816886,28496,1451846,330044,1.5704405850899288
Utah,2021-01-04,283473,1301,232355,49817,0.4589502351193941
Vermont,2021-01-04,7793,140,5272,2381,1.7964840241242142
Virginia,2021-01-04,363765,5124,31368,327273,1.4086017071460968
Washington,2021-01-04,255396,3459,NA,251937,1.3543673354320351
West Virginia,2021-01-04,91058,1376,62264,27418,1.5111247776142678
Wisconsin,2021-01-04,526245,5261,454850,66134,0.9997244629402656
Wyoming,2021-01-04,44875,438,43068,1369,0.9760445682451252
Alabama,2021-01-05,374095,4878,202137,167080,1.3039468584183165
Alaska,2021-01-05,48382,218,7165,40980,0.4507578107230734
Arizona,2021-01-05,561542,9064,79480,472998,1.6141268150913022
Arkansas,2021-01-05,234781,3800,207898,23083,1.6185296084436134
California,2021-01-05,2490518,27064,NA,2431220,1.0935275212562547
Colorado,2021-01-05,343435,4944,18403,320088,1.4395737184620088
Connecticut,2021-01-05,194636,6168,9800,178668,3.1689923755112113
Delaware,2021-01-05,60333,1085,18851,40545,1.5530472544047205
District of Columbia,2021-01-05,29904,797,21127,7980,2.6651952915997863
Florida,2021-01-05,1376692,22090,NA,1354602,1.6045709570477638
Georgia,2021-01-05,696063,10971,NA,685092,1.5761504346589317
Hawaii,2021-01-05,22602,289,11958,10131,1.2914469568326037
Idaho,2021-01-05,143305,1459,60820,81026,1.0181082306967657
Illinois,2021-01-05,984880,18412,NA,966468,1.8694663309235644
Indiana,2021-01-05,529688,9735,351569,169605,1.6073613145851895
Iowa,2021-01-05,286356,3992,244677,37687,1.3940689212029782
Kansas,2021-01-05,234069,2911,4643,226764,1.233477167868133
Kentucky,2021-01-05,279142,2749,37455,238938,0.984803433377994
Louisiana,2021-01-05,322181,7585,263712,50884,2.3542667010158884
Maine,2021-01-05,25967,361,11548,14058,1.390226056148188
Maryland,2021-01-05,287802,6027,9383,272392,2.094148060124669
Massachusetts,2021-01-05,392568,12671,261672,118225,3.2277210572435857
Michigan,2021-01-05,543611,13391,363611,166609,2.4633423532636387
Minnesota,2021-01-05,423688,5502,405556,12630,1.2985970808708294
Mississippi,2021-01-05,223677,4884,182103,36690,2.1835056800654518
Missouri,2021-01-05,454015,5772,NA,408477,1.3847947794975048
Montana,2021-01-05,82664,975,76633,5056,1.1794735314042388
Nebraska,2021-01-05,169585,1682,112856,55047,0.9918330040982398
Nevada,2021-01-05,233032,3206,NA,229826,1.3757767173607058
New Hampshire,2021-01-05,47870,781,40347,6200,1.6501859364435432
New Jersey,2021-01-05,547247,19225,57168,416709,3.898787674761002
New Mexico,2021-01-05,147315,2574,69903,74838,1.7472762447815904
New York,2021-01-05,1035139,38417,104939,891601,3.7288711950762172
North Carolina,2021-01-05,570111,6941,487090,76080,1.2174822096047964
North Dakota,2021-01-05,93240,1319,90013,1915,1.407121407121407
Ohio,2021-01-05,727423,14197,585091,133189,1.2569027924605078
Oklahoma,2021-01-05,307091,2552,267573,36646,0.8318908892952723
Oregon,2021-01-05,118453,1506,5870,111077,1.2713903404725926
Pennsylvania,2021-01-05,671190,16432,465567,188137,2.4379177928448943
Rhode Island,2021-01-05,92708,1992,5636,85217,2.0009060706735124
South Carolina,2021-01-05,325472,5484,156090,163898,1.6849375675941405
South Dakota,2021-01-05,100643,1513,93099,6031,1.5033335651759188
Tennessee,2021-01-05,612250,7168,530494,74588,1.1707635769701918
Texas,2021-01-05,1831146,28570,1464746,335902,1.5608471248890907
Utah,2021-01-05,285633,1305,234298,50030,0.45687998235497995
Vermont,2021-01-05,7873,144,5361,2368,1.8290359456369871
Virginia,2021-01-05,367536,5132,31561,330843,1.3963258020982978
Washington,2021-01-05,256435,3482,NA,252953,1.3578489675746293
West Virginia,2021-01-05,91886,1396,63128,27362,1.5192738828548418
Wisconsin,2021-01-05,527871,5269,456529,66073,0.9981605354338464
Wyoming,2021-01-05,45257,438,43420,1399,0.9678060852464812
Alabama,2021-01-06,379593,4886,202137,172570,1.2871680984633542
Alaska,2021-01-06,48582,218,7165,41177,0.4489291598023064
Arizona,2021-01-06,567474,9317,80302,477855,1.641837335278797
Arkansas,2021-01-06,238888,3836,210617,24435,1.6057734168313185
California,2021-01-06,2529480,27563,NA,2468414,1.0978382203160972
Colorado,2021-01-06,346893,4991,18534,323368,1.4387721862361016
Connecticut,2021-01-06,196968,6192,9800,180976,3.1436578530522725
Delaware,2021-01-06,61100,1093,18851,41302,1.5499181669394435
District of Columbia,2021-01-06,30166,801,21337,8028,2.655307299608831
Florida,2021-01-06,1392123,22188,NA,1369935,1.5938246835947685
Georgia,2021-01-06,706154,11072,NA,695082,1.5679299416274637
Hawaii,2021-01-06,22757,289,11958,10238,1.2853013119857684
Idaho,2021-01-06,144843,1471,61493,81879,1.0155823892076248
Illinois,2021-01-06,991719,18562,NA,973157,1.871699543923228
Indiana,2021-01-06,533083,9800,354859,169561,1.6250752697047175
Iowa,2021-01-06,288298,3999,247853,36446,1.387106396853256
Kansas,2021-01-06,233901,3006,4643,225508,1.2803685402511842
Kentucky,2021-01-06,280835,2772,37502,240561,0.9870564566382396
Louisiana,2021-01-06,326648,7635,263712,55301,2.337378462442752
Maine,2021-01-06,26565,369,11582,14614,1.389045736871824
Maryland,2021-01-06,289758,6082,9388,274288,2.0989929527398727
Massachusetts,2021-01-06,397202,12734,261672,122796,3.205925448512344
Michigan,2021-01-06,546642,13608,363611,169423,2.489380618393757
Minnesota,2021-01-06,425261,5520,406667,13074,1.2980263885002388
Mississippi,2021-01-06,225444,4975,182103,38366,2.206756445059527
Missouri,2021-01-06,458230,5987,NA,410936,1.4272486962862747
Montana,2021-01-06,83378,1005,77449,4924,1.205353930293363
Nebraska,2021-01-06,171033,1692,114249,55092,0.9892827699917559
Nevada,2021-01-06,235455,3235,NA,232220,1.3739355715529509
New Hampshire,2021-01-06,48662,792,40720,6480,1.6502750458409734
New Jersey,2021-01-06,554400,19382,57439,422815,3.879224075126692
New Mexico,2021-01-06,148499,2594,70737,75168,1.7468131098525916
New York,2021-01-06,1048281,38563,105379,904159,3.6958601748958535
North Carolina,2021-01-06,575396,6996,487090,81310,1.2158582958519002
North Dakota,2021-01-06,93494,1336,90281,1884,1.4214815924016515
Ohio,2021-01-06,735003,14332,596221,129535,1.2580901030335931
Oklahoma,2021-01-06,308600,2571,271693,34004,0.8340145587605591
Oregon,2021-01-06,119488,1550,5870,112068,1.297201392608463
Pennsylvania,2021-01-06,680080,16631,471740,190722,2.4353532705545526
Rhode Island,2021-01-06,93852,2005,5682,86300,1.9924988279418656
South Carolina,2021-01-06,328073,5498,157106,165469,1.675846534155508
South Dakota,2021-01-06,101076,1513,93529,6034,1.4968934267284024
Tennessee,2021-01-06,617649,7267,539207,71175,1.17655820700754
Texas,2021-01-06,1864173,28808,1488189,343777,1.5475909613422019
Utah,2021-01-06,288951,1312,236196,51443,0.454056224065672
Vermont,2021-01-06,8038,149,5463,2426,1.8536949489922867
Virginia,2021-01-06,371913,5191,31735,334987,1.3957565344583276
Washington,2021-01-06,258767,3541,NA,255226,1.3684125100959552
West Virginia,2021-01-06,93162,1442,64404,27316,1.5478413945600138
Wisconsin,2021-01-06,531890,5366,458650,67874,1.008855214424035
Wyoming,2021-01-06,45569,464,43563,1542,1.0182360815466656
Alabama,2021-01-07,384184,4994,211684,167506,1.29989796555817
Alaska,2021-01-07,48922,220,7165,41514,0.4499069510623939
Arizona,2021-01-07,574680,9444,81214,484022,1.6433493422426393
Arkansas,2021-01-07,242593,3901,210617,28075,1.608043100996319
California,2021-01-07,2567843,28106,NA,2502931,1.1034206989964268
Colorado,2021-01-07,349450,5050,18534,325866,1.4451280583774502
Connecticut,2021-01-07,199454,6230,9800,183424,3.123527229336088
Delaware,2021-01-07,61729,1102,18851,41931,1.5341249655753373
District of Columbia,2021-01-07,30482,806,21461,8215,2.644183452529361
Florida,2021-01-07,1409906,22317,NA,1387589,1.5828714822122891
Georgia,2021-01-07,713840,11165,NA,702675,1.5640759834136502
Hawaii,2021-01-07,22917,299,11958,10353,1.3224237063246351
Idaho,2021-01-07,146106,1488,62215,82403,1.0184386678165167
Illinois,2021-01-07,999288,18735,NA,980553,1.8748348824362944
Indiana,2021-01-07,539229,9883,357442,173044,1.6213890573392749
Iowa,2021-01-07,290776,4060,249919,36797,1.396263790684238
Kansas,2021-01-07,239197,3041,4745,230606,1.266932638617953
Kentucky,2021-01-07,286540,2806,37821,245913,0.9792699099602149
Louisiana,2021-01-07,333524,7681,280373,45470,2.30298269389909
Maine,2021-01-07,27090,372,11607,15111,1.3732004429678848
Maryland,2021-01-07,292904,6132,9391,277381,2.0935186955452982
Massachusetts,2021-01-07,404053,12836,261672,129545,3.1768109629182315
Michigan,2021-01-07,551498,13667,363611,174220,2.4781594856191678
Minnesota,2021-01-07,427587,5596,406910,15081,1.3087395079831707
Mississippi,2021-01-07,228235,5013,182103,41119,2.1964203562117994
Missouri,2021-01-07,462063,6022,NA,413185,1.42735132452859
Montana,2021-01-07,84060,1015,78114,4931,1.2074708541517964
Nebraska,2021-01-07,172469,1703,114249,56517,0.9874238268906296
Nevada,2021-01-07,237393,3295,NA,234098,1.3879937487626004
New Hampshire,2021-01-07,49584,816,41237,6785,1.670830091322331
New Jersey,2021-01-07,560057,19523,57888,427236,3.868644815088567
New Mexico,2021-01-07,149984,2641,72089,75254,1.7608544911457222
New York,2021-01-07,1064297,38729,105379,920006,3.656122304206439
North Carolina,2021-01-07,582348,7076,487090,88182,1.2150810168490318
North Dakota,2021-01-07,93832,1341,90511,1987,1.4216898286298918
Ohio,2021-01-07,742817,14485,605474,127975,1.2611450734164673
Oklahoma,2021-01-07,311924,2633,274657,34283,0.845066806173834
Oregon,2021-01-07,120223,1558,5870,112795,1.2959250725734677
Pennsylvania,2021-01-07,689673,16989,485206,186277,2.4571541462932784
Rhode Island,2021-01-07,95463,2024,5743,87830,1.9798246441029508
South Carolina,2021-01-07,333235,5582,158273,169380,1.675094152775069
South Dakota,2021-01-07,101684,1519,93778,6387,1.4938436725541877
Tennessee,2021-01-07,625380,7379,548838,69163,1.1799226070549107
Texas,2021-01-07,1884799,29118,1504643,351038,1.5448862186365762
Utah,2021-01-07,292720,1330,239203,52187,0.4543591145121618
Vermont,2021-01-07,8158,152,5546,2460,1.8632017651385144
Virginia,2021-01-07,377300,5226,32101,339973,1.3851046912271403
Washington,2021-01-07,260752,3605,NA,257147,1.3825397312388783
West Virginia,2021-01-07,94678,1481,65571,27626,1.5642493504298782
Wisconsin,2021-01-07,535999,5435,461729,68835,1.013994429094084
Wyoming,2021-01-07,45890,464,43642,1784,1.0111135323599914
Alabama,2021-01-08,389230,5080,211684,172466,1.3051409192508283
Alaska,2021-01-08,49255,223,7165,41840,0.4529942309254896
Arizona,2021-01-08,584593,9741,82155,492697,1.6662874854813519
Arkansas,2021-01-08,245916,3926,215980,26010,1.596480098895558
California,2021-01-08,2609088,28625,NA,2547789,1.1087757704198373
Colorado,2021-01-08,352923,5102,18775,329046,1.4456411171842016
Connecticut,2021-01-08,202758,6287,9800,186671,3.100740784580633
Delaware,2021-01-08,62949,1112,18851,43149,1.5075696198509905
District of Columbia,2021-01-08,30750,808,21660,8282,2.627642276422764
Florida,2021-01-08,1429722,22481,NA,1407241,1.5724035861517134
Georgia,2021-01-08,723630,11230,NA,712400,1.5518980694553846
Hawaii,2021-01-08,23400,299,11958,10640,1.3058479276761148
Idaho,2021-01-08,147173,1517,63097,82559,1.0307597181548247
Illinois,2021-01-08,1008045,18941,NA,989104,1.878983577122053
Indiana,2021-01-08,546499,9958,360087,177589,1.6144585808940182
Iowa,2021-01-08,293189,4065,251659,37465,1.3864776645781391
Kansas,2021-01-08,239311,3042,4745,230606,1.266932638617953
Kentucky,2021-01-08,291429,2843,38173,250413,0.9755377810718906
Louisiana,2021-01-08,338054,7728,280373,49953,2.2860253095659275
Maine,2021-01-08,27625,385,11658,15582,1.3936651583710409
Maryland,2021-01-08,295874,6173,9404,280297,2.086361086138018
Massachusetts,2021-01-08,411601,12909,293522,105170,3.1362897563417
Michigan,2021-01-08,555747,13873,363611,178263,2.4962797819871274
Minnesota,2021-01-08,429570,5640,408510,15420,1.3129408478245688
Mississippi,2021-01-08,228235,5013,182103,41119,2.1964203562117994
Missouri,2021-01-08,467936,6094,NA,417854,1.42814006812799
Montana,2021-01-08,84750,1038,78796,4916,1.224778761061947
Nebraska,2021-01-08,173591,1719,116295,55485,1.043256850873605
Nevada,2021-01-08,240796,3339,NA,237457,1.3866509410455323
New Hampshire,2021-01-08,50337,827,41804,6630,1.678812853981852
New Jersey,2021-01-08,566761,19646,58335,432858,3.8458300951963342
New Mexico,2021-01-08,151819,2680,74235,74904,1.7652599477008806
New York,2021-01-08,1081885,38933,107243,935524,3.615726255563207
North Carolina,2021-01-08,592746,7213,487090,98443,1.216878730518637
North Dakota,2021-01-08,94156,1348,90726,2089,1.424232125408896
Ohio,2021-01-08,753068,14604,613418,130188,1.256460239978329
Oklahoma,2021-01-08,315730,2672,277828,34854,0.8473017624637709
Oregon,2021-01-08,121085,1568,5870,113647,1.2949580872940496
Pennsylvania,2021-01-08,699327,17251,499022,181810,2.4602975623383787
Rhode Island,2021-01-08,96591,2035,5794,88887,1.9774099036142083
South Carolina,2021-01-08,338112,5661,159700,172751,1.6742972742759796
South Dakota,2021-01-08,102132,1544,94513,6075,1.5117690831472996
Tennessee,2021-01-08,634237,7492,555634,71111,1.1812618942130466
Texas,2021-01-08,1910091,29498,1522105,358488,1.5443243280032208
Utah,2021-01-08,297317,1359,242361,53597,0.4570878893571508
Vermont,2021-01-08,8403,155,5657,2591,1.8445793169106277
Virginia,2021-01-08,382679,5275,32368,345036,1.3784398934877535
Washington,2021-01-08,264012,3634,NA,260378,1.3764525854885383
West Virginia,2021-01-08,96002,1518,66881,27603,1.5812170579779588
Wisconsin,2021-01-08,540508,5477,464443,70588,1.0133060010212616
Wyoming,2021-01-08,46168,489,43949,1730,1.0591751862762089
Alabama,2021-01-09,394287,5191,211684,177412,1.3165536779046736
Alaska,2021-01-09,49660,223,7165,42251,0.4492435383468644
Arizona,2021-01-09,596251,9938,83095,503218,1.6667477287249832
Arkansas,2021-01-09,248860,3966,217578,27316,1.5936671220766696
California,2021-01-09,2653925,29169,NA,2590723,1.1109885416185559
Colorado,2021-01-09,356110,5138,18891,332081,1.4428126140799191
Connecticut,2021-01-09,205994,6324,9800,189870,3.0699923298736858
Delaware,2021-01-09,63503,1116,18851,43695,1.5070154165944916
District of Columbia,2021-01-09,31107,809,21851,8447,2.6007008068923394
Florida,2021-01-09,1449252,22666,NA,1426586,1.563979211344887
Georgia,2021-01-09,736926,11314,NA,725612,1.5352966240843722
Hawaii,2021-01-09,23704,303,11958,10919,1.3071613459879206
Idaho,2021-01-09,148258,1523,63778,82957,1.0272632842747105
Illinois,2021-01-09,1017322,19108,NA,998214,1.8782646988858984
Indiana,2021-01-09,552594,10021,362458,181244,1.6091379928120826
Iowa,2021-01-09,294762,4124,253501,37137,1.3990948629741962
Kansas,2021-01-09,244583,3164,4838,235669,1.2891548463356974
Kentucky,2021-01-09,296166,2856,38445,254865,0.9643240615060472
Louisiana,2021-01-09,341431,7833,280373,53225,2.2941677820701694
Maine,2021-01-09,28407,426,11690,16291,1.4996303727954376
Maryland,2021-01-09,299606,6216,9419,283971,2.074724805244221
Massachusetts,2021-01-09,419721,12985,293522,113214,3.0937217818503244
Michigan,2021-01-09,559655,13913,363611,182131,2.485995836720837
Minnesota,2021-01-09,431944,5688,409727,16529,1.3168373678069378
Mississippi,2021-01-09,233665,5101,182103,46461,2.1830398219673466
Missouri,2021-01-09,473282,6131,NA,421917,1.4226436077998907
Montana,2021-01-09,85568,1049,79114,5405,1.225925579655946
Nebraska,2021-01-09,174614,1733,117589,55292,0.9924748301968914
Nevada,2021-01-09,243661,3394,NA,240267,1.3929188503699812
New Hampshire,2021-01-09,51289,846,42495,6811,1.686871909395438
New Jersey,2021-01-09,572692,19756,58799,438053,3.824176164519326
New Mexico,2021-01-09,153456,2710,75883,74863,1.7659785215306016
New York,2021-01-09,1101445,39098,108144,954019,3.5664059485494057
North Carolina,2021-01-09,602774,7328,487090,108356,1.215712688337586
North Dakota,2021-01-09,94438,1359,90964,2122,1.4316270992608908
Ohio,2021-01-09,762603,14744,621185,131874,1.2515030756501089
Oklahoma,2021-01-09,320974,2703,280430,37453,0.8431434934775692
Oregon,2021-01-09,122847,1575,5870,115402,1.2820825905394515
Pennsylvania,2021-01-09,709585,17458,513383,177462,2.453471444647928
Rhode Island,2021-01-09,97614,2048,5860,89838,1.9628332001557156
South Carolina,2021-01-09,344176,5695,164575,173906,1.6546766770489516
South Dakota,2021-01-09,102580,1556,95783,5241,1.516864885942679
Tennessee,2021-01-09,640606,7618,559625,73363,1.1891864890431871
Texas,2021-01-09,1932554,30128,1536690,357064,1.5412818661130634
Utah,2021-01-09,301110,1381,244990,54739,0.4586363787320248
Vermont,2021-01-09,8619,156,5778,2685,1.8099547511312215
Virginia,2021-01-09,387917,5312,32595,350010,1.3693650961417003
Washington,2021-01-09,268607,3699,NA,264908,1.3771048409013913
West Virginia,2021-01-09,97898,1554,68155,28189,1.5873664426239555
Wisconsin,2021-01-09,544618,5529,467069,72020,1.0152069891189788
Wyoming,2021-01-09,46647,489,44279,1879,1.048298925975947
Alabama,2021-01-10,399150,5299,211684,182167,1.3275710885631968
Alaska,2021-01-10,49979,224,7165,42569,0.4483766363745546
Arizona,2021-01-10,607345,10036,84029,513280,1.6524380706188408
Arkansas,2021-01-10,251746,4010,219887,27849,1.5928753584962618
California,2021-01-10,2704483,29732,NA,2645555,1.110433295879058
Colorado,2021-01-10,358947,5190,18891,334866,1.445895912209881
Connecticut,2021-01-10,205994,6324,9800,189870,3.0699923298736858
Delaware,2021-01-10,64475,1128,18851,44655,1.5029081039162466
District of Columbia,2021-01-10,31457,813,22042,8602,2.584480401818355
Florida,2021-01-10,1464697,22804,NA,1441893,1.5569090398901615
Georgia,2021-01-10,748852,11457,NA,737395,1.5299418309625934
